serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
6779,R-41071862,25-Aug-2017,"SHENZHENCSMTechnologyCo.Ltd5THFLOOR,BUILDINGC,NO.339BULONGROAD,BANTIANSTREET,LONGGANGDISTRICT,SHENZHEN,GUANGDONG,CHINA-518129",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,24-Aug-2019,-,Easycell,C101
6780,R-41071870,28-Aug-2017,"shenzhenLeagooIntelligenceCo.,Ltd.2NDFLOOROFBUILDINGB,HONGLIANYINGTECHNOLOGYPARK,NO.286OFSILIROAD,DABUXIANGCOMMUNITY,LONGHUANEWDISTRICT,SHENZHEN,CHINA-518110",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,27-Aug-2019,-,USHASHRIRAM,"NJ-1DHOOM(NJ-1DHOOM-PLUS),NJ-3ORBIT(NJ-3ORBIT-EXTREEM)(followingmodelsincludedon17Nov2017)GENIUS-ACE-PLUS,GENIUS-ACE,GENIUS-STAR-PLUS,RA-1Genius,GENIUS-STAR(followingmodelsincludedasperIS16333(Part3):2016w.e.f.15Mar2018)GENIUS-ACE-PLUS,GENIUS-ACE,GENIUS-STAR-PLUS,RA-1Genius,GENIUS-STAR"
6781,R-85001724,03-Feb-2016,"SEJALCOMMUNICATIONC-134,1STFLOOR&2NDFLOOR,MAYAPURIINDUSTRIALAREA,PHASEIINEWDELHI-110064,INDIA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelledw.e.f.01Nov2017,01-Nov-2017,-,INFIX,"M8,M7,M6,N9,N8,N7,N6,N5,N4,N3(followingmodelsincludedon5May2016)A10,A11,A12,A14,A15,A16,A17,A18,A19,A20"
6782,R-41016110,08-Jun-2015,"EMOBILECOMM(SHANGHAI)INC.NO.3938,HUQINGPINGROAD,QINGPUDISTRICT,SHANGHAI,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,07-Jun-2017,,XOLO,XOLOPRIMECUBE5.0
6783,R-41064122,18-Apr-2017,"JiaxingYongruiElectronicTechnologyCo.,Ltd3F,NO.2PLANT,3BUILDING,NO.777,YAZHONGROAD,DAQIAOTOWN,NANHUDISTRICT,JIAXINGCITY,ZHEJIANGPROVINCE,P.R.CHINA-314006",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,17-Apr-2019,-,MLOGO(MOTOROLA),XT1755(followingmodelsincludedasperIS16333(Part3):2016w.e.f.24Feb2018)XT1755
6784,R-41075205,17-Oct-2017,"SHENZHENCHITENGTECHNOLOGYCO.,LTD.2/F,4ABLOCK,HUIYETECHNOLOGYPARK,NO.8HUIYEROAD,GUANGMINGNEWDISTRICT,SHENZHEN-518028,CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,16-Oct-2019,-,CORN,"C1000,C2000,C3000,C4000,C5000,C6000,C7000,C8000,C9000,C1100"
6785,R-41053430,06-Oct-2016,"KimSimChinaHkLimitedUNIT406B,4/F,MIRRORTOWER61MODYROAD,TSIMSHATSUIEASTKOWLOON,HONGKONG",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,05-Oct-2018,-,EDGE,"E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E66,E11,E22,E33,E44,E55,E77,E88,E90,E99,E95,E10,E20,E30,E40,E50,E60,E70,E80,E90,JOY,BOLT,4U,ZEST,UNO,WOW,URO,SWAG,CULT,NEO"
6786,R-41064084,17-Apr-2017,"UnitedcreationTechnologyCorp.,LtdROOM201,BLOCKA,TECHNOLOGYBUILDINGII,1057NANHAIROAD,SHEKOU,NANSHANDISTRICT,SHENZHENCHINA-518067",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,16-Apr-2019,-,YUHO,"U1,H1,Y1(followingmodelsincludedon15Sep2017)H2,H2PRO(followingmodelsincludedon18Sep2017)Y2,Y2PRO(followingmodelsincludedon21Dec2017)U2(followingmodelsincludedon19Jan2018)O1Lite,O1(followingmodelsincludedasperIS16333(Part3):2016w.e.f.24Feb2018)O1Lite,O1,U2,Y2,Y2PRO,H2,H2PRO,U1,H1,Y1"
6787,R-41038075,12-May-2016,"OnePlusTechnologyShenzhenCoLtd18C02,18C03,18C04AND18C05,SHUMYIPTERRABUILDING,BINHEAVENUENORTH,FUTIANDISTRICT,SHENZHEN",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Operative,11-May-2020,-,1+,ONEPLUSA3003(followingmodelsincludedon10April2017)ONEPLUSA5000(followingmodelsincludedon16Oct2017)ONEPLUSA5010(followingmodelsincludedasperIS16333(Part3):2016w.e.f.28Feb2018)ONEPLUSA5010(followingmodelsincludedon05Apr2018)ONEPULSA6000(followingmodelsincludedon10Oct2018)ONEPLUSA6010
6788,R-41087882,03-May-2018,"ShenzhenZhanweixunTechnologyCo.,LtdFLOOR4/5,BUILDING3,HONGYEINDUSTRIALPARK,LEZHUJIAOVILLAGE,HUANGMABUCOMMUNITY,XIXIANGSUB-DISTRICT,BAO?ANDISTRICT,SHENZHEN,China",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Operative,02-May-2020,-,ELE,S8
6789,R-93004669,14-Jun-2018,"OppoMobilesIndiaPrivateLimitedPLOTNO.1UDYOGVIHAR,GREATERNOIDA,GAUTAMBUDDHANAGARUTTARPRADESH,India-201306",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Operative,13-Jun-2022,-,realme,"CPH1861,CPH1861,CPH1859,CPH1859(followingmodelsincludedon09Aug2018)RMX1801,RMX1807,RMX1805(followingmodelsincludedon06Oct2018)RMX1811(followingmodelsincludedon10Oct2018)RMX1831(followingmodelsincludedon15Oct2018)RMX1833(followingmodelsincludedon07Dec2018)RMX1821(followingmodelsincludedon22Jan2019)RMX1825(followingmodelsincludedon16July2019)RMX1945(followingmodelsincludedon16July2019)RMX1941(followingmodelsincludedon08Aug2019)RMX1911(followingmodelsincludedon18Oct2019)RMX1925(followingmodelsincludedon26Dec2019)RMX2027(followingmodelsincludedon03Jan2020)RMX2020(followingmodelsincludedon06Jan2020)RMX2030(followingmodelsincludedon08Jan2020)RMX2040(followingmodelsincludedon25Mar2020)RMX2190(followingmodelsincludedon28July2020)RMX2103(followingmodelsincludedon13Aug2020)RMX2050(followingmodelsincludedon17Aug2020)RMX2189"
6790,R-41071714,25-Aug-2017,"TELPATECHNOLOGYSERVICESINCORPORATEDCOMPANYPROFILOSHOPPINGCENTER,BESINCIYILSTR.NO.:1/DMECIDIYEKOY/SISLI,ISTANBUL,TURKEY-34394",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,24-Aug-2019,-,GeneralMobile,"GM6d,GM6"
6791,R-71002364,24-Aug-2017,"DataminiTechnologies(India)Limited1stfloor,PlotNo-59,MIDC,TTCIndustrialAreaMahape,Thane,NaviMumbai,Maharashtra-400709",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,23-Aug-2019,-,DATAMINI,"GT-500(followingmodelsincludedon12Sep2017)PD450(Addresschangedfrom""AMITACOMPLEX,UNITMO2,1STFLOOR,OPP,LAMANWEIGHBRIDGE,DAPODAROAD,VILLAGEVAL,ARJUNPHATA,THANE,MAHARASTRA""w.e.f.16.02.2018)(followingmodelsincludedasperIS16333(Part3):2016w.e.f.23May2018)GT-500"
6792,R-41015962,03-Jun-2015,"SHENZHENXILAILETECHNOLOGYCO.,LTD2/F,9/F,2NO.YONGXIANGROAD,BANTIANSUB-DISTRICT,LONGGANGDISTRICT,SHENZHENCITY,GUANGDONGPROVINCE,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,02-Jun-2017,,SPICE,"Mi-347(followingmodelsincludedon10Jul2015)SPICEM-6112(followingmodelsincludedon20Jul2015)Mi-348E,Mi-403E,M-5364n,M-5000(followingmodelsincludedon23Jul2015)Mi-362(followingmodelsincludedon06Aug2015)MI-501(followingmodelsincludedon11Aug2015)M-5502,POWER-5765,POWER-5757POWER-5855,POWER-5511(followingmodelsincludedon20Aug2015),MI-347(followingmodelsincludedon26Aug2015)FLO-6111STAR,FLO-40TWIST(followingmodelsincludedon26Aug2015)STYLE-275,XLIFE-350,XKIFE-405(followingmodelsincludedon08Sep2015)XLIFE-EZY(followingmodelsincludedon11Sep2015)XLIFE-512,XLIFEM5+(followingmodelsincludedon28Sep2015)STYLE240,M-5000+,CHAMP-2460,CHAMP-1800+,M-5503,POWER-5510+,(followingmodelsincludedon29Oct2015)M-5703,M-5704,M-5505(followingmodelsincludedon9NOV2015)POWERS-577,POWERS-551,POWERS-585,POWER5721(followingmodelsincludedon03dec2015)Xlife-QE50,Xlife-QE45,Xlife-348E+,Xlife-515Q(followingmodelsincludedon04dec2015)PowerS-580,Xplor-525Q,Champ-1855+(followingmodelsincludedon1Feb2016)Xlife-Victor4(followingmodelsincludedon13June2016)XLife-514Q,XLife-450Q,XLife-441Q(followingmodelsincludedon21Jul2016)Xlife-Victor5,Xlife-415,Xlife-M5Pro,Xlife-M44Q,M-5367,Xlife-Proton5Pro,Xlife-Proton6"
6793,R-41015954,03-Jun-2015,"DAYABAYGUANGHONGELECTRONICSCO.,LTDNO.5YONGDAROAD,XIANGSHUIRIVERINDUSTRIALAREA,DAYABAY,HUIZHOU,GUANGDONG,CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,02-Jun-2017,,LENOVO,LenovoA6000(followingmodelsincludedon22Aug2015)LENOVOA6010(followingmodelsincludedon04Feb2016)LenovoA6020a46(followingmodelsincludedon18Feb2016)LenovoA6020a40
6794,R-41091243,14-Jun-2018,"BravaTechnologyCo.,Ltd.NO.1708,17THFLOOR,YOUSONGCOMMERCIALMANSION,NO.48,MINGQINGROAD,LONGHUA,SHENZHEN,GUANGDONG,CHINA-518109",IS13252(Part1):2010/IEC60950-1:2005&IS16333(Part3):2017,MobilePhone,Operative,13-Jun-2020,-,easyfone,"A1809,B1809,C1809,A1809,B1809,C1809"
6795,R-91002240,17-Apr-2018,"YUHOMOBILEPRIVATELIMITEDPLOTNO.562,UDYOGVIHAR,PHASEV,GURGAON,HARYANAIndia122016",IS13252(Part1):2010/IEC60950-1:2005&IS16333(Part3):2017,MobilePhone,Operative,16-Apr-2020,-,yuho,"O1,O1Lite,Y2,Y2Pro,O1,O1Lite,Y2,Y2PRO(followingmodelsincludedon25May2018)O2,O2Pro(followingmodelsincludedon14Jun2018)Y1ACE,Y1MAX,Y1PRO(followingmodelsincludedon10Sep2018)Y3PRO,Y3(followingmodelsincludedon15Oct2018)YuhoVast,YuhoVast2,YuhoVast2Plus,Yuho_VastPlus(followingmodelsincludedon15Jan2019)Y1STAR,Y1STARS(followingmodelsincludedon03May2019)Netra(followingmodelsincludedon01Aug2019)NetraPlus(followingmodelsincludedon15Nov2019)Thunder,PowerX,Dynamo"
6796,R-41015865,29-May-2015,"HUIZHOUHAIHONGTECHNOLOGYCO.,LTD.,2FJIAXININDUSTRIALPARK,WORKSHOP,ZHONGKAI6THROAD,CHENJIANGSTREET,ZHONGKAIHIGH-TECHZONE,HUIZHOUCITY,GUANGDONGPROVINCE,CHINA518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,28-May-2019,,LAVA,"ARC12+(followingmodelsincludedon07Aug2015)SPARKNEX3G(followingmodelsincludedon11Aug2015)KKT27LITE(followingmodelsincludedon07Sep2015)KKT08+(followingmodelsincludedon30Sep2015)KKT40POWER+,KKY34POWER,FLAIRS1(followingmodelsincludedon14Oct2015)V2s(followingmodelsincludeon28Jan2016)A52(followingmodelsincludeon18Apr2016)X80,X81(followingmodelsincludedon22Sep2016)KKT40Power+(followingmodelsincludedon01Mar2017)ArcOnePlus"
6797,R-41015822,29-May-2015,"FORTUNESHIP(HUIZHOU)TECHNOLOGYCOMPANYLIMITEDNO.1HECHANGDONGSIROAD,NEWANDHI-TECHZONE,ZHONGKAI,HUIZHOUCITY,GUANGDONGPROV.CHINA516006",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,28-May-2017,,LAVA,"ARCONE,ARC240,KKTUNOPLUS(followingmodelsincludedon10Jun2015)ARCGRAND(followingmodelsincludedon25Aug2015)SPARK242(followingmodelsincludedon16OCT2015)ARC4I,FlairP2(followingmodelsincludedon05Apr2016)A48(followingmodelsincludedon12Sep2016)ARC230"
6798,R-41015792,29-May-2015,"TOPOLOGYCOMMUNICATIONTECHNOLOGYCO.,LTDNO.49KXDSCIENCEPARK,SHIDINGCOMMUNICATIONSCIENCEPARK,4THBUILDINGZHOUSHIROAD,SHIYANTOWN,BAOANDISTRICT,SHENZHEN,GUANGDONG,CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,28-May-2017,,INTEX,TURBOSELFIE
6799,R-41015776,29-May-2015,"DONGGUANGGOLDEXCOMMUNICATIONTECHNOLOGYCO.LTD,HUPANINDUSTRIALPARK,DALINGSHANTOWN,DONGGUANCHINA518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Deferred,28-May-2019,,GIONEE,"S5.1,M2,P2S,L700,L800,S96,S80,P6,P4S,M3,S7(followingmodelsincludedon01Aug2015)P2M,M4(followingmodelsincludedon17Aug2015)F103,E8M5(followingmodelsincludedon07Sept2015)P3S(followingmodelsincludedon16Oct2015)V5,E3,P2,S5.5,v4S,G3,P3(followingmodelsincludedon11Dec2015)E6(followingmodelsincludedon28Dec2015)M5Lite(followingmodelsincludedon29Dec2015)P4(followingmodelsincludedon5Jan2016)P5W(followingmodelsincludedon5Jan2016)S6(followingmodelsincludedon13Jan2016)P5mini(followingmodelsincludedon27Jan2016)P5L,M5PLUS(followingmodelsincludedon9May2016)M5LITECDMA(followingmodelsincludedon9May2016)E103Pro(followingmodelsincludedon18May2016)S6s,P7Max(followingmodelsincludeon26May2016)S8,P5lite,(followingmodelsincludedon1Jun2016)S6Pro,P7mini(followingmodelsincludedon20Jul2016)P7(followingmodelsincludedon08Aug2016)M6(followingmodelsincludedon11Aug2016)M6Lite(followingmodelsincludedon02Sep2016)P8Max(followingmodelsincludedon28Oct2016)M7Lite(followingmodelsincludedon30Dec2016)A1(followingmodelsincludedon11April2017)A1lite(followingmodelsincludedon16May2017)A1Plus(followingmodelsincludedon14Jun2017)X1.(followingmodelsincludedon20Jun2017)X1S(followingmodelsincludedon03Oct2017)M7Power(followingmodelsincludedon23Oct2017)S10lite(followingmodelsincludedon27Nov2017)S11lite(followingmodelsincludedon11Dec2017)S11(followingmodelsincludedon14Dec2017)F205(followingmodelsincludedasperIS16333(Part3):2016w.e.f.23Feb2018)M7Power,P5L,A1lite,X1S,A1Plus(followingmodelsincludedasperIS16333(Part3):2016w.e.f.28Feb2018)P7Max,F103Pro,A1(followingmodelsincludedasperIS16333(Part3):2016w.e.f.01Mar2018)S11lite,S11,F205(followingmodelsincludedon27Jul2018)F205lite(followingmodelsincludedon05Oct2018)F205Pro"
6800,R-41038369,11-May-2016,"ShenzhenGuoWeiElectronicsCo.,Ltd.1-2,4-5/F,BUILDINGD,GUANLANFACOTRYAREAOFQIAOANCOMPANY,SHANGKENGCOMMUNITY,GUANLANSTREET,BAOANDISTRICT,SHENZHEN",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelledw.e.f.15Dec2017,15-Dec-2017,-,Binatone,TheBrickPower
6801,R-41071595,23-Aug-2017,"ShenzhenYixingtongElectronicsCo.Ltd..BUILDING32,LONGWANGMIAOINDUSTRIALPARK,BAISHIXIA,FUYONGSTREET,BAO?ANDISTRICT,SHENZHEN,China-518103",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,22-Aug-2019,-,InFocus,"IF9012,IF9010,IF9007(followingmodelsincludedon01Nov2017)IF9031"
6802,R-41015695,29-May-2015,"SHENZHENTOPSTARELECTRONICSCO.,LTDFLOOR3-6,B6BUILDING,XUJINGCHNAGINDUSTRIALPARK,HAOYEROAD,FUYONGSTREET,BAOANDISTRICTSHENZHENCITY,GUANGDONGPROVINCE,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,28-May-2017,,LAVA,IRISX8(followingmodelsincludedon15Jun2015)KKT34i(followingmodelsincludedon11Aug2015)IrisX1Selfie(followingmodelsincludedon17Aug2015)IRISFUELF1(followingmodelsincludedon27Aug2015)FLAIRZ1(followingmodelsincludedon21Oct2015)FUELF14G(followingmodelsincludedon20Nov2015)X10(followingmodelsincludedon26May2016)SPARKVIBE
6803,R-41071536,23-Aug-2017,"XUNRUICOMMUNICATIONSCO.LTD17F,DAWNINGBUILDING,12KEJISOUTHROAD,HI-TECHPARK,NANSHANDISTRICT,SHENZHEN,GUANGDONG,China-518057",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,22-Aug-2019,-,VOTO,"V2,V2i,V3,V3i,V4,V5,V6,V8(followingmodelsincludedon22Dec2017)V5X,V21,V22,V25"
6804,R-41038350,11-May-2016,"ShenzhenPuxinCommunication&TechnologyCo.,Ltd3-5THFLOORNO.CBUILDING,JIN'AOINDUSTRIALPARK,DASHUIKENGGUANLANSTREET,LONGHUA,NEWDISTRICT,SHENZHEN",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelledw.e.f.01Nov2017,01-Nov-2017,-,V551,V551
6805,R-41038296,11-May-2016,ShenzhenFerrytechLtd.BULIDING2NO.20TONGFUCUNINDUSTRIALZONEDALANGCOMMUNITYLONGHUANEWDISTRICTSHENZHENCITYGUANGDONGPROVINCECHINA,IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelledw.e.f.01Nov2017,01-Nov-2017,-,douzo,"umboD23,jumboD24"
6806,R-41159077,22-Jun-2020,"PT.SATNUSAPERSADA,TBKJL.PELITAVINO99DISTRICTKAMPUNGPELITASUBDISTRICTLUBUKBAJABATAMCITY,BATAM,Indonesia-29443",IS13252(Part1):2010/IEC60950-1:2005&IS16333(Part3):2017,MobilePhone,Operative,21-Jun-2022,-,Redmi,"M1908C3JI,M2001C3K3I(followingmodelsincludedon22July2020)M2006C3LI"
6807,R-41015679,27-May-2015,"SHENZHENNEWAYDIGITALS&TCO.,LTD3RD-4THFLOOR,BLOCKB,BUILDINGA,HUIPUINDUSTRIALPARK,CENXIAROAD,FUYONGSTREET,BAOANDISTRICT,SHENZHENCITYP.R.CHINA518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,26-May-2019,,INTEX,"CLOUDM4,AQUAPRO(followingmodelsincludedon07Jul2015)AQUA4G(followingmodelsincludedon26Aug2015)STAR,FEEL(followingmodelsincludedon13Jan2016)FLIPX2(followingmodelsincludedon5Apr2016)AQUASHINE4G(followingmodelsincludedon25May2016)FlipX4,F:ipX12(followingmodelsincludedon27Sep2016)IN-HARDY(followingmodelsincludedon30Sep2016)CLOUDSCANPRO,CLOUDSCANFP,AQUAS2(followingmodelsincludedon13Dec2016)AQUA4.03G(followingmodelsincludedon11Jan2017)INTEXaQuaAMAZE+(followingmodelsincludedon11Jan2017)INTEXaQua4.04G(followingmodelsincludedon20Jun2017)INTEXAQUAS3,INTEXCLOUDS3(followingmodelsincludedon23Jun2017)ECOSELFIE(followingmodelsincludedon18Sep2017)INTEXAQUALIONSX1+,INTEXAQUALIONSX1"
6808,R-41078140,29-Nov-2017,"GuizhouFutaiCommunicationCO.,LTDA26,F2,BUILDING2,ZUNYIVVALLYINDUSTRYEXPOCENTERHUICHUANROAD,HUICHUANDISTRICTZUNYICITY,GUIZHOUPROVINCE,CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,28-Nov-2019,-,TYMES,Y331
6809,R-41064483,21-Apr-2017,"ZteCorporationZTEBUILDING,KEJIROADS,,HIGH-TECHINDUSTRYPARK,NANSHANDISTRICT,SHENZHEN,China-518057",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,20-Apr-2019,-,MICROMAX,"E4816(followingmodelsincludedon16May2017)E4515(followingmodelsincludedon29Sep2017)YU5000(followingmodelsincludedasperIS16333(Part3):2016w.e.f.24Feb2018)E4816,E4515(MicromaxBrand)YU5000(YUBrand)"
6810,R-91001341,23-Aug-2017,"VsunMobilePvtLtdPLOTNO.2,N.H.NO.8,ICDBAWAL,SECTOR-8,BAWAL,DISTRICT-REWARI,HARYANA-123501",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,22-Aug-2019,-,Infinix,"X5511,X5511B,X572"
6811,R-93004618,14-Jun-2018,"MAXIMPACTPRIVATELIMITEDPLOTNO.-E-87,SECTOR63,NOIDA,GAUTAMBUDDHANAGAR,UTTARPRADESH,201301,INDIA",IS13252(Part1):2010/IEC60950-1:2005&IS16333(Part3):2017,MobilePhone,Operative,13-Jun-2020,-,INDIANO,"i20,i21,i22,i23,i10,i11,i12,i13,i14,i10,i11,i12,i13,i14,i20,i21,i22,i23,i24(followingmodelsincludedon25Oct2018)iATAL,iATAL,iGold,iPower,iPower"
6812,R-41086100,11-Apr-2018,"ShenzhenYucuiMobileTechnologyCo.,LtdFLOOR3~6,B6BUILDING,XUJINGCHANGINDUSTRIALPARK,HAOYEROADNO.39,FUYONGSTREET,BAO'ANDISTRICT,SHENZHEN,GUANGDONG,China-516000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Operative,10-Apr-2020,-,TAMBO,"S2440,S2430,P1850,A2400,A1810,A1800(followingmodelsincludedon14May2018)S2450(followingmodelsincludedon25May2018)TA-2,TA-3,TA-4(followingmodelsincludedon28Sep2018)A1806(followingmodelsincludedon17Oct2018)A1801,A1820(followingmodelsincludedon30Oct2018)A-1810,A-1800"
6813,R-41043079,30-Jun-2016,SubhOverseas(Hk)Limited20/FCHAMPIONBUILDING287-291DESVOEUXROADCENTRALSHEUNGWANHK,IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,29-Jun-2018,-,FOOTBALL,"Strike,Footy,Corner,Goal,Kick"
6814,R-41015520,25-May-2015,"GUANGDONGENOKCOMMUNICATIONCO.,LTDNO.139&137LIXIANGROAD,SONGMUSHAN,DALANGTOWN,DONGGUAN,GUANGDONG,CHINA519000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,24-May-2019,,HONOR,"HUAWEIY541-U02,Y541-U02(followingmodelsincludedon15Dec2015)TIT-AL00(followingmodelsincludedon27Jan2017)LUA-L22(followingmodelsincludedasperIS16333(Part3):2016w.e.f.24Apr2018)LUA-L22,TIT-AL00,Y541-U02"
6815,R-41015482,25-May-2015,"SHENZHENTOPSTARELECTRONICSCO.,LTDFLOOR3-6,B6BUILDINGAND2FB5BUILDINGHAOYEROAD,XUJINGCHNAGINDUSTRIALPARK,FUYONGTOWNBAOANDISTRICT,SHENZHEN,CHINA",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,24-May-2017,,INTEX,"CLOUDPOWER+,AQUAPOWER+(followingmodelsincludedon07Aug2015)AQUA3GPRO,AQUA3GSTRONG)(followingmodelsincludedon25Aug2015)CLOUD3GCANDY,AQUA3GSTRONG,AQUA3GN(followingmodelsincludedon07Sep2015)CLOUD3GGem(followingmodelsincludedon17Sep2015)AQUASUPER(followingmodelsincludedon14Oct2015)Model(S)-AQUAYOUNG,CLOUDFORCE,AQUAFORCE(followingmodelsincludedon26OCT2015)SLIMZZFM(followingmodelsincludedon14Jan2016)AQUAACEII,AQUAACEMINI(followingmodelsincludedon18May2016)AQUA3GPROQ,AquaClassic"
6816,R-41064599,21-Apr-2017,"ShenzhenYudafuElectronicsCo.,Ltd.BUILDING1&2,YUDAFUINDUSTRIALPARK,XINGYEWESTERNROAD,HEYICOMMUNITY,SHAJINGSTREET,BAO'ANDISTRICT,SHENZHENCITY,GUANGDONGPROVINCE,CHINA-513100",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,20-Apr-2019,-,Nuumobile,"X5,M3,Q626"
6817,R-41071471,22-Aug-2017,"ShenzhenTengkeyuanTechnologyCo.,Ltd.2.3/F,BUILDINGC,NO.52HUANGPUROAD,SHANGLIAOCOMMUNITYSHAJING,BOANDISTRICT,SHENZHEN,CHINA-518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,21-Aug-2019,-,seekenthinkahead,SJ1
6818,R-41071463,18-Aug-2017,"HenanLepaiElectronicsTechnologyCo.,Ltd.BUILDING6,MOBILEPHONEINDUSTRIALZONE,CROSSOFRENMINROADEAST&XINGANGBLVD,XINZHENGCITY,HENANPROVINCE,HENAN,China-451100",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Expired,17-Aug-2019,-,RREACH,"champi,champi3,champi5,champi7,champi9,AllureSecure,AllureAdmire,AllureMarvel,AllureRise,AllureAppeal(followingmodelsincludedasperIS16333(Part3):2016w.e.f.09Mar2018)champi,champi3,champi5,champi7,champi9,AllureSecure,AllureAdmire,AllureMarvel,AllureRise,AllureAppeal"
6819,R-41015423,21-May-2015,"SHENZHENZHENHUACOMMUNICATIONEQUIPMENTCO.LTD.,FLOORB2BUILDINGW1,NEW&HI-TECHINDUSTRIALPARK,NANSHANDIST.SHENZHEN,GUANGDONGCHINA518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,20-May-2019,,INTEX,"AQUA4G+(followingmodelsincludedon07Sep2015)CLOUD4GSTAR(followingmodelsincludedon13Jan2016)AQUACRAZE,CLOUDJEWEL(followingmodelsincludedon14Jan2016)AquaLite,CLO(followingmodelsincludedon03May2017)INTEXELYT-e7"
6820,R-41064491,20-Apr-2017,"ShenzhenPuxinCommunication&TechnologyCo.,Ltd3-5THFLOORNO.CBUILDING,JIN'AOINDUSTRIALPARK,DASHUIKENGGUANLANSTREET,LONGHUA,NEWDISTRICT,SHENZHEN,China-518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,19-Apr-2019,-,CENTRiC,CM3331
6821,R-91000949,25-Apr-2017,"FORCEFOXTECHNOLOGIESPRIVATELIMITEDPLOTNO53,PHASEIV,SECTOR-56,HSIIDCKUNDLI,INDUSTRIALAREA,SONIPAT,HARYANA,INDIA-131001",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,24-Apr-2019,-,SHINEMOBILE,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10"
6822,R-41038288,10-May-2016,"ShenzhenCityHuaYuHaiChengTechnologyCo.,LtdTHIRDFLOOR,BUILDINGC,SUOJIATECHNOLOGYPARK,SANWEICOMMUNITY,HANGKONGROAD,XIXIANG,BAOANDISTRICT,SHENZHENCITY",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelledw.e.f.01Nov2017,01-Nov-2017,-,BOCOIN,"A1,A2,A3,A4,A5,A6,A11,A12,A13,A14"
6823,R-91002224,11-Apr-2018,"FormeCommunicationsTechnologyIndiaPvt.Ltd.PLOTNO.409,UDYOGVIHAR,PHASEIII,GURGAON(EAST),HARYANA,INDIA-122016",IS13252(Part1):2010/IEC60950-1:2005&IS16333(Part3):2017,MobilePhone,Operative,10-Apr-2022,-,WINSTAR,"L6,D8+,M600,M660,X601+,W1,W2,W3,W5,W8,L6,D8+,M600,M660,X601+,W1,W2,W3,W5,W8"
6824,R-41064661,25-Apr-2017,"Suncupid(Shenzhen)ElectronicLtdBAOLONGINDUSTRIALCITY,LONGGANGDISTRICT,SHENZHENHI-TECHROAD,BUILDING1,A7518000,BAOLONG,China-518000",IS13252(Part1):2010/IEC60950-1:2005,MobilePhone,Cancelled,24-Apr-2019,-,nuumobile,Q500
